INDEX-1	INDEX-2	TMP-PMI-VALUE	PMI-VALUE	TMP-ALT-PMI-VALUE	ALT-PMI-VALUE
691	95	1389.9999235500	3.1430147764	20.4411764706	1.3105058875
1022	25	347.5000050388	2.5409548152	4.0643274854	0.6089886942
136	715	695.0000100775	2.8419848109	8.1286549708	0.9100186899
133	808	695.0000100775	2.8419848109	8.1286549708	0.9100186899
384	1369	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
386	1296	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
478	315	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
480	253	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
144	698	695.0000100775	2.8419848109	8.1286549708	0.9100186899
75	526	695.0000100775	2.8419848109	10.2205882353	1.0094758919
89	92	695.0000100775	2.8419848109	8.5802469136	0.9334997857
782	1313	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
84	423	695.0000100775	2.8419848109	8.1286549708	0.9100186899
165	36	463.3333293178	2.6658935418	5.3256704981	0.7263742929
863	926	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
359	9	154.4444454912	2.1887722938	1.7353308365	0.2393822842
289	22	347.5000050388	2.5409548152	3.9601139601	0.5977076838
268	673	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1016	35	463.3333293178	2.6658935418	5.3256704981	0.7263742929
991	788	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
74	546	695.0000100775	2.8419848109	8.1286549708	0.9100186899
695	4	163.5294007649	2.2135958453	2.0684523810	0.3156455272
1181	1072	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
447	1298	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1092	1	99.2857073464	1.9968867342	1.2545126354	0.0984750399
97	42	231.6666807597	2.3648635763	2.5226860254	0.4018632014
750	192	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
16	418	231.6666646589	2.3648635461	2.6177024482	0.4179202792
2	852	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
22	232	347.5000050388	2.5409548152	3.9601139601	0.5977076838
23	201	347.5000050388	2.5409548152	3.9601139601	0.5977076838
120	1244	695.0000100775	2.8419848109	8.5802469136	0.9334997857
543	446	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
557	12	198.5714294792	2.2979167622	2.2383252818	0.3499232001
85	194	695.0000100775	2.8419848109	8.1286549708	0.9100186899
83	256	1389.9999235500	3.1430147764	20.4411764706	1.3105058875
79	380	695.0000100775	2.8419848109	8.1286549708	0.9100186899
127	1236	695.0000100775	2.8419848109	8.1286549708	0.9100186899
130	1143	695.0000100775	2.8419848109	8.1286549708	0.9100186899
681	427	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1079	415	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
356	300	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1123	1109	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1213	14	198.5714294792	2.2979167622	2.2383252818	0.3499232001
66	750	695.0000100775	2.8419848109	8.1286549708	0.9100186899
826	70	695.0000100775	2.8419848109	8.1286549708	0.9100186899
156	7	126.3636358007	2.1016221132	1.4300411523	0.1553485353
2	1039	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
61	894	695.0000100775	2.8419848109	8.1286549708	0.9100186899
788	918	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
9	844	154.4444454912	2.1887722938	1.7353308365	0.2393822842
5	968	92.6666667223	1.9669235415	1.0435435435	0.0185105754
1	1092	99.2857073464	1.9968867342	1.2545126354	0.0984750399
1331	472	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
179	1330	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
905	1352	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1145	405	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1148	312	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
406	786	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
489	304	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
476	707	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1280	6	126.3636358007	2.1016221132	1.4300411523	0.1553485353
119	1176	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1080	362	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
